day,contract_address,name,total_supply,total_stablecoin_supply
2025-07-03,0xb8ce59fc3717ada4c02eadf9682a9e934f625ebb,USD₮0,63584014.66556703,317105678.4610648
2025-07-03,0x0ad339d66bf4aed5ce31c64bc37b3244b6394a77,USR,1430619.8040729994,317105678.4610648
2025-07-03,0x02c6a2fa58cc01a18b8d9e00ea48d65e4df26c70,feUSD,75874310.1659996,317105678.4610648
2025-07-03,0x8ff0dd9f9c40a0d76ef1bcfaf5f98c1610c74bd8,USH,2431554.6206831,317105678.4610648
2025-07-03,0x5d3a1ff2b6bab83b63cd9ad0787074081a52ef34,USDe,11634284.411570998,317105678.4610648
2025-07-03,0x111111a1a0667d36bd57c0a9f569b98057111111,USDH,0,317105678.4610648
2025-07-02,0x5d3a1ff2b6bab83b63cd9ad0787074081a52ef34,USDe,11285563.260210998,317105678.4610648
2025-07-02,0x111111a1a0667d36bd57c0a9f569b98057111111,USDH,0,317105678.4610648
2025-07-02,0x02c6a2fa58cc01a18b8d9e00ea48d65e4df26c70,feUSD,75510681.58134742,317105678.4610648
2025-07-02,0x8ff0dd9f9c40a0d76ef1bcfaf5f98c1610c74bd8,USH,2515097.8826706912,317105678.4610648
2025-07-02,0xfdd22ce6d1f66bc0ec89b20bf16ccb6670f55a5a,thBILL,0,317105678.4610648
2025-07-02,0xca79db4b49f608ef54a5cb813fbed3a6387bc645,USDXL,3628279.815116168,317105678.4610648
2025-07-02,0xb88339cb7199b77e23db6e890353e22632ba630f,USDC,0,317105678.4610648
2025-07-02,0x0ad339d66bf4aed5ce31c64bc37b3244b6394a77,USR,1394381.2935469993,317105678.4610648
2025-07-02,0xb8ce59fc3717ada4c02eadf9682a9e934f625ebb,USD₮0,66250777.03122703,317105678.4610648
2025-07-02,0xb50a96253abdf803d85efcdce07ad8becbc52bd5,USDHL,19540106.036972,317105678.4610648
2025-07-01,0xb88339cb7199b77e23db6e890353e22632ba630f,USDC,0,317105678.4610648
2025-07-01,0xb8ce59fc3717ada4c02eadf9682a9e934f625ebb,USD₮0,65146631.08190503,317105678.4610648
2025-07-01,0xfdd22ce6d1f66bc0ec89b20bf16ccb6670f55a5a,thBILL,0,317105678.4610648
2025-07-01,0xb50a96253abdf803d85efcdce07ad8becbc52bd5,USDHL,18883009.867307,317105678.4610648
2025-07-01,0x5d3a1ff2b6bab83b63cd9ad0787074081a52ef34,USDe,11221884.770928,317105678.4610648
2025-07-01,0x111111a1a0667d36bd57c0a9f569b98057111111,USDH,0,317105678.4610648
2025-07-01,0x02c6a2fa58cc01a18b8d9e00ea48d65e4df26c70,feUSD,75172523.97647725,317105678.4610648
2025-07-01,0x8ff0dd9f9c40a0d76ef1bcfaf5f98c1610c74bd8,USH,2424725.105327255,317105678.4610648
2025-07-01,0x0ad339d66bf4aed5ce31c64bc37b3244b6394a77,USR,1394607.5295429993,317105678.4610648
2025-07-01,0xca79db4b49f608ef54a5cb813fbed3a6387bc645,USDXL,3512665.4604586447,317105678.4610648
2025-06-30,0x0ad339d66bf4aed5ce31c64bc37b3244b6394a77,USR,4848645.547785999,317105678.4610648
2025-06-30,0xca79db4b49f608ef54a5cb813fbed3a6387bc645,USDXL,3241476.8170796037,317105678.4610648
2025-06-30,0xb8ce59fc3717ada4c02eadf9682a9e934f625ebb,USD₮0,62239701.10370303,317105678.4610648
2025-06-30,0xb88339cb7199b77e23db6e890353e22632ba630f,USDC,0,317105678.4610648
2025-06-30,0xb50a96253abdf803d85efcdce07ad8becbc52bd5,USDHL,18883009.867307,317105678.4610648
2025-06-30,0xfdd22ce6d1f66bc0ec89b20bf16ccb6670f55a5a,thBILL,0,317105678.4610648
2025-06-30,0x111111a1a0667d36bd57c0a9f569b98057111111,USDH,0,317105678.4610648
2025-06-30,0x5d3a1ff2b6bab83b63cd9ad0787074081a52ef34,USDe,11317914.459223999,317105678.4610648
2025-06-30,0x8ff0dd9f9c40a0d76ef1bcfaf5f98c1610c74bd8,USH,2344434.8612115,317105678.4610648
2025-06-30,0x02c6a2fa58cc01a18b8d9e00ea48d65e4df26c70,feUSD,74860219.29026422,317105678.4610648
2025-06-29,0x8ff0dd9f9c40a0d76ef1bcfaf5f98c1610c74bd8,USH,2346220.877233746,317105678.4610648
2025-06-29,0x02c6a2fa58cc01a18b8d9e00ea48d65e4df26c70,feUSD,73499283.86728735,317105678.4610648
2025-06-29,0x111111a1a0667d36bd57c0a9f569b98057111111,USDH,0,317105678.4610648
2025-06-29,0x5d3a1ff2b6bab83b63cd9ad0787074081a52ef34,USDe,11325353.665632999,317105678.4610648
2025-06-29,0xb88339cb7199b77e23db6e890353e22632ba630f,USDC,0,317105678.4610648
2025-06-29,0x0ad339d66bf4aed5ce31c64bc37b3244b6394a77,USR,942481.2204410001,317105678.4610648
2025-06-29,0xca79db4b49f608ef54a5cb813fbed3a6387bc645,USDXL,3252237.552436749,317105678.4610648
2025-06-29,0xfdd22ce6d1f66bc0ec89b20bf16ccb6670f55a5a,thBILL,0,317105678.4610648
2025-06-29,0xb50a96253abdf803d85efcdce07ad8becbc52bd5,USDHL,18872834.257749,317105678.4610648
2025-06-29,0xb8ce59fc3717ada4c02eadf9682a9e934f625ebb,USD₮0,59106877.86265803,317105678.4610648
2025-06-28,0xca79db4b49f608ef54a5cb813fbed3a6387bc645,USDXL,3129843.6849175165,317105678.4610648
2025-06-28,0xb8ce59fc3717ada4c02eadf9682a9e934f625ebb,USD₮0,58966761.11085703,317105678.4610648
2025-06-28,0xb88339cb7199b77e23db6e890353e22632ba630f,USDC,0,317105678.4610648
2025-06-28,0xb50a96253abdf803d85efcdce07ad8becbc52bd5,USDHL,18872834.257749,317105678.4610648
2025-06-28,0x111111a1a0667d36bd57c0a9f569b98057111111,USDH,0,317105678.4610648
2025-06-28,0x5d3a1ff2b6bab83b63cd9ad0787074081a52ef34,USDe,11298054.433081,317105678.4610648
2025-06-28,0x8ff0dd9f9c40a0d76ef1bcfaf5f98c1610c74bd8,USH,2533635.7991365804,317105678.4610648
2025-06-28,0x02c6a2fa58cc01a18b8d9e00ea48d65e4df26c70,feUSD,74388689.51069632,317105678.4610648
2025-06-28,0xfdd22ce6d1f66bc0ec89b20bf16ccb6670f55a5a,thBILL,0,317105678.4610648
2025-06-28,0x0ad339d66bf4aed5ce31c64bc37b3244b6394a77,USR,919394.93541,317105678.4610648
2025-06-27,0xfdd22ce6d1f66bc0ec89b20bf16ccb6670f55a5a,thBILL,0,317105678.4610648
